 Timestamp,FIT101,LIT101,MV101,P101,P102,AIT201,AIT202,AIT203,FIT201,MV201,P201,P202,P203,P204,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302,MV303,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P401,P402,P403,P404,UV401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603
 22/12/2015 4:00:00 PM,2.470294,261.5804,2,2,1,244.3284,8.19008,306.101,2.471278,2,1,1,2,1,2,1,20.79839,2.235275,327.4401,1,2,1,1,2,1,0,171.0587,0,238.0544,1,1,1,1,1,7.308575,176.8265,263.6504,12.68905,0.001666239,0.001408992,0.001664373,0,1,1,10.02948,0,4.277749,0.0002563035,1,1,1
 22/12/2015 4:00:01 PM,2.457163,261.1879,2,2,1,244.3284,8.19008,306.101,2.468587,2,1,1,2,1,2,1,20.79839,2.234507,327.4401,1,2,1,1,2,1,0,171.0587,0,238.1312,1,1,1,1,1,7.308575,176.8008,263.6504,12.68905,0.001666239,0.001408992,0.001664373,0,1,1,10.02948,0,4.277749,0.0002563035,1,1,1
 22/12/2015 4:00:02 PM,2.439548,260.9131,2,2,1,244.3284,8.19008,306.101,2.467305,2,1,1,2,1,2,1,20.8432,2.233354,327.4401,1,2,1,1,2,1,0,171.0587,0,238.0544,1,1,1,1,1,7.308575,176.8008,263.6504,12.68905,0.001666239,0.001408992,0.001664373,0,1,1,10.02948,0,4.277749,0.0002563035,1,1,1
 22/12/2015 4:00:03 PM,2.428338,260.285,2,2,1,244.3284,8.19008,306.101,2.466536,2,1,1,2,1,2,1,20.8432,2.233354,327.2799,1,2,1,1,2,1,0,171.0587,0,238.2081,1,1,1,1,1,7.308575,176.8008,263.6504,12.68905,0.001666239,0.001408992,0.001664373,0,1,1,10.02948,0,4.277749,0.0002563035,1,1,1
 22/12/2015 4:00:04 PM,2.424815,259.8925,2,2,1,244.4245,8.19008,306.101,2.466536,2,1,1,2,1,2,1,20.8432,2.233354,327.1597,1,2,1,1,2,1,0,171.0587,0,238.4389,1,1,1,1,1,7.308575,176.8008,263.6504,12.68905,0.001666239,0.001408992,0.001664373,0,1,1,10.02948,0,4.277749,0.0002563035,1,1,1
 22/12/2015 4:00:05 PM,2.425456,260.0495,2,2,1,244.5847,8.19008,306.101,2.465127,2,1,1,2,1,2,1,20.8432,2.235147,326.9194,1,2,1,1,2,1,0,171.0587,0,238.6311,1,1,1,1,1,7.308575,176.8008,263.6504,12.68905,0.001666239,0.001408992,0.001664373,0,1,1,10.02948,0,4.277749,0.0002563035,1,1,1
 22/12/2015 4:00:06 PM,2.472857,260.2065,2,2,1,244.5847,8.19008,306.101,2.464742,2,1,1,2,1,2,1,20.8432,2.235147,326.7592,1,2,1,1,2,1,0,171.0587,0,238.5158,1,1,1,1,1,7.308575,176.8008,263.6504,12.68905,0.001666239,0.001408992,0.001664373,0,1,1,10.02948,0,4.277749,0.0002563035,1,1,1
 22/12/2015 4:00:07 PM,2.513532,260.5991,2,2,1,244.5847,8.19008,306.101,2.468331,2,1,1,2,1,2,1,20.8368,2.235147,327.0396,1,2,1,1,2,1,0,171.0587,0,238.2081,1,1,1,1,1,7.308575,176.8008,263.6504,12.68905,0.001666239,0.001408992,0.001664373,0,1,1,10.02948,0,4.277749,0.0002563035,1,1,1
 22/12/2015 4:00:08 PM,2.559972,261.0309,2,2,1,244.5847,8.19008,306.101,2.469612,2,1,1,2,1,2,1,20.824,2.233994,327.0796,1,2,1,1,2,1,0,171.0587,0,237.8621,1,1,1,1,1,7.308575,176.8008,263.6504,12.68905,0.001666239,0.001408992,0.001664373,0,1,1,10.02948,0,4.277749,0.0002563035,1,1,1
 22/12/2015 4:00:09 PM,2.598085,261.1093,2,2,1,244.809,8.19008,306.101,2.470894,2,1,1,2,1,2,1,20.80799,2.233994,326.9594,1,2,1,1,2,1,0,171.0587,0,238.0928,1,1,1,1,1,7.308575,176.8008,263.6504,12.68905,0.001666239,0.001408992,0.001664373,0,1,1,10.02948,0,4.277749,0.0002563035,1,1,1
 22/12/2015 4:00:10 PM,2.630753,261.7766,2,2,1,244.809,8.19008,306.101,2.470894,2,1,1,2,1,2,1,20.80799,2.233738,326.3586,1,2,1,1,2,1,0,171.0587,0,238.2081,1,1,1,1,1,7.308575,176.8008,263.6504,12.68905,0.001666239,0.001408992,0.001664373,0,1,1,10.02948,0,4.277749,0.0002563035,1,1,1
 22/12/2015 4:00:11 PM,2.649329,261.7766,2,2,1,244.809,8.19008,306.101,2.472175,2,1,1,2,1,2,1,20.80799,2.233738,326.1584,1,2,1,1,2,1,0,171.0587,0,238.9003,1,1,1,1,1,7.308575,176.8008,263.6504,12.68905,0.001666239,0.001408992,0.001664373,0,1,1,10.02948,0,4.277749,0.0002563035,1,1,1
 22/12/2015 4:00:12 PM,2.654133,261.8944,2,2,1,244.8731,8.19008,306.101,2.474097,2,1,1,2,1,2,1,20.80799,2.233738,326.3586,1,2,1,1,2,1,0,171.0587,0,239.6693,1,1,1,1,1,7.308575,176.8008,263.6504,12.68905,0.001666239,0.001408992,0.001664373,0,1,1,10.02948,0,4.277749,0.0002563035,1,1,1
 22/12/2015 4:00:13 PM,2.646446,261.6589,2,2,1,244.8731,8.19008,306.101,2.474097,2,1,1,2,1,2,1,20.80799,2.235147,326.4388,1,2,1,1,2,1,0,171.0587,0,240.0154,1,1,1,1,1,7.308575,176.8008,263.6504,12.68905,0.001666239,0.001408992,0.001664373,0,1,1,10.02948,0,4.277749,0.0002563035,1,1,1
 22/12/2015 4:00:14 PM,2.625949,261.2664,2,2,1,245.0333,8.19008,305.8703,2.474097,2,1,1,2,1,2,1,20.90403,2.235147,327.0396,1,2,1,1,2,1,0,171.0587,0,239.8231,1,1,1,1,1,7.308575,176.8008,263.6504,12.68905,0.001666239,0.001408992,0.001664373,0,1,1,10.02948,0,4.277749,0.0002563035,1,1,1
 22/12/2015 4:00:15 PM,2.61602,260.8346,2,2,1,245.0333,8.19008,305.8703,2.474097,2,1,1,2,1,2,1,20.92003,2.235147,327.1197,1,2,1,1,2,1,0,171.0587,0,240.0154,1,1,1,1,1,7.308575,176.8008,263.6504,12.68905,0.001666239,0.001408992,0.001664373,0,1,1,10.02948,0,4.277749,0.0002563035,1,1,1
 22/12/2015 4:00:16 PM,2.609935,261.0309,2,2,1,245.0333,8.19008,305.8703,2.474097,2,1,1,2,1,2,1,20.92003,2.235147,327.3199,1,2,1,1,2,1,0,171.0587,0,240.746,1,1,1,1,1,7.308575,176.8008,263.6504,12.68905,0.001666239,0.001408992,0.001664373,0,1,1,10.02948,0,4.277749,0.0002563035,1,1,1
 22/12/2015 4:00:17 PM,2.602889,261.1093,2,2,1,245.0333,8.19008,305.8703,2.474097,2,1,1,2,1,2,1,20.86241,2.235147,327.8807,1,2,1,1,2,1,0,171.0587,0,241.7073,1,1,1,1,1,7.308575,176.8008,263.6504,12.68905,0.001666239,0.001408992,0.001664373,0,1,1,10.02948,0,4.277749,0.0002563035,1,1,1
 22/12/2015 4:00:18 PM,2.587516,260.9916,2,2,1,245.0333,8.19008,305.8703,2.474097,2,1,1,2,1,2,1,20.8272,2.235147,328.121,1,2,1,1,2,1,0,171.2125,0,242.284,1,1,1,1,1,7.308575,176.8008,263.6504,12.68905,0.001666239,0.001408992,0.001664373,0,1,1,10.02948,0,4.277749,0.0002563035,1,1,1
 22/12/2015 4:00:19 PM,2.573103,261.3056,2,2,1,245.0333,8.19008,305.8703,2.473457,2,1,1,2,1,2,1,20.8208,2.235147,328.4815,1,2,1,1,2,1,0,171.2125,0,242.3225,1,1,1,1,1,7.308575,176.8008,263.6504,12.68905,0.001666239,0.001408992,0.001664373,0,1,1,10.02948,0,4.277749,0.0002563035,1,1,1
 22/12/2015 4:00:20 PM,2.556769,261.6589,2,2,1,245.4499,8.19008,305.8703,2.471663,2,1,1,2,1,2,1,20.8208,2.235147,328.4815,1,2,1,1,2,1,0,171.2125,0,242.8993,1,1,1,1,1,7.308575,176.8008,263.6504,12.68905,0.001666239,0.001408992,0.001664373,0,1,1,10.02948,0,4.277749,0.0002563035,1,1,1
